Age,Married,1,2,3,4,5,6
18,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
19,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
20,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
21,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
22,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
23,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
24,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
25,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
26,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
27,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
28,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
29,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
30,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
31,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
32,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
33,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
34,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
35,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
36,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
37,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
38,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
39,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
40,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
41,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
42,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
43,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
44,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
45,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
46,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
47,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
48,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
49,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
50,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
51,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
52,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
53,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
54,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
55,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
56,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
57,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
58,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
59,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
60,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
61,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
62,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
63,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
64,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
65,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
66,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
67,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
68,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
69,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
70,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
71,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
72,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
73,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
74,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
75,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
76,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
77,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
78,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
79,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
80,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
81,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
82,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
83,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
84,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
85,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
86,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
87,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
88,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
89,Yes,0,0.8679257,0.0330186,0.0330186,0.0330186,0.0330186
18,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
19,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
20,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
21,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
22,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
23,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
24,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
25,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
26,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
27,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
28,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
29,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
30,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
31,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
32,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
33,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
34,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
35,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
36,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
37,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
38,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
39,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
40,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
41,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
42,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
43,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
44,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
45,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
46,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
47,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
48,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
49,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
50,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
51,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
52,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
53,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
54,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
55,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
56,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
57,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
58,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
59,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
60,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
61,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
62,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
63,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
64,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
65,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
66,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
67,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
68,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
69,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
70,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
71,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
72,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
73,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
74,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
75,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
76,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
77,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
78,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
79,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
80,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
81,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
82,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
83,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
84,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
85,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
86,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
87,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
88,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
89,No,0.84435504,0.031129,0.031129,0.031129,0.031129,0.031129
