Sex,Age,IMD-1,IMD-2,IMD-3,IMD-4,IMD-5
Male,18,0.22354599,0.203432445,0.186548056,0.188825073,0.197648435
Male,19,0.22354599,0.203432445,0.186548056,0.188825073,0.197648435
Male,20,0.230315828,0.243816608,0.197587955,0.176111099,0.15216851
Male,21,0.230315828,0.243816608,0.197587955,0.176111099,0.15216851
Male,22,0.230315828,0.243816608,0.197587955,0.176111099,0.15216851
Male,23,0.230315828,0.243816608,0.197587955,0.176111099,0.15216851
Male,24,0.230315828,0.243816608,0.197587955,0.176111099,0.15216851
Male,25,0.241027461,0.248587058,0.203336272,0.171611557,0.135437652
Male,26,0.241027461,0.248587058,0.203336272,0.171611557,0.135437652
Male,27,0.241027461,0.248587058,0.203336272,0.171611557,0.135437652
Male,28,0.241027461,0.248587058,0.203336272,0.171611557,0.135437652
Male,29,0.241027461,0.248587058,0.203336272,0.171611557,0.135437652
Male,30,0.239985492,0.248589243,0.204262673,0.172029677,0.135132915
Male,31,0.239985492,0.248589243,0.204262673,0.172029677,0.135132915
Male,32,0.239985492,0.248589243,0.204262673,0.172029677,0.135132915
Male,33,0.239985492,0.248589243,0.204262673,0.172029677,0.135132915
Male,34,0.239985492,0.248589243,0.204262673,0.172029677,0.135132915
Male,35,0.220783613,0.229094344,0.20220516,0.183502016,0.164414867
Male,36,0.220783613,0.229094344,0.20220516,0.183502016,0.164414867
Male,37,0.220783613,0.229094344,0.20220516,0.183502016,0.164414867
Male,38,0.220783613,0.229094344,0.20220516,0.183502016,0.164414867
Male,39,0.220783613,0.229094344,0.20220516,0.183502016,0.164414867
Male,40,0.201691038,0.208323716,0.198779928,0.195489007,0.19571631
Male,41,0.201691038,0.208323716,0.198779928,0.195489007,0.19571631
Male,42,0.201691038,0.208323716,0.198779928,0.195489007,0.19571631
Male,43,0.201691038,0.208323716,0.198779928,0.195489007,0.19571631
Male,44,0.201691038,0.208323716,0.198779928,0.195489007,0.19571631
Male,45,0.190178668,0.198216213,0.200249499,0.203743011,0.207612609
Male,46,0.190178668,0.198216213,0.200249499,0.203743011,0.207612609
Male,47,0.190178668,0.198216213,0.200249499,0.203743011,0.207612609
Male,48,0.190178668,0.198216213,0.200249499,0.203743011,0.207612609
Male,49,0.190178668,0.198216213,0.200249499,0.203743011,0.207612609
Male,50,0.180396243,0.192760435,0.204515158,0.210124871,0.212203292
Male,51,0.180396243,0.192760435,0.204515158,0.210124871,0.212203292
Male,52,0.180396243,0.192760435,0.204515158,0.210124871,0.212203292
Male,53,0.180396243,0.192760435,0.204515158,0.210124871,0.212203292
Male,54,0.180396243,0.192760435,0.204515158,0.210124871,0.212203292
Male,55,0.176194065,0.190053633,0.20696241,0.212522289,0.214267602
Male,56,0.176194065,0.190053633,0.20696241,0.212522289,0.214267602
Male,57,0.176194065,0.190053633,0.20696241,0.212522289,0.214267602
Male,58,0.176194065,0.190053633,0.20696241,0.212522289,0.214267602
Male,59,0.176194065,0.190053633,0.20696241,0.212522289,0.214267602
